Year,Winner,Author,Title,Publisher,Chair,Judges
1985,0,Iris Murdoch,The Good Apprentice,Chatto & Windus,,
1986,1,Kingsley Amis,The Old Devils,Hutchinson,Anthony Thwaite,"Edna Healey, Isabel Quigley, Gillian Reynolds, Bernice Rubens"
1986,0,Margaret Atwood,The Handmaid's Tale,Jonathan Cape,,
1986,0,Paul Bailey,Gabriel's Lament,Jonathan Cape,,
1986,0,Robertson Davies,What's Bred in the Bone,Viking,,
1986,0,Kazuo Ishiguro,An Artist of the Floating World,Faber & Faber,,
1986,0,Timothy Mo,An Insular Possession,Chatto & Windus,,
1987,1,Penelope Lively,Moon Tiger,Deutsch,P. D. James,"Selina Hastings, Allan Massie, Trevor McDonald, John B. Thompson"
1987,0,Chinua Achebe,Anthills of the Savannah,Heinemann,,
1987,0,Peter Ackroyd,Chatterton,Hamish Hamilton,,
1987,0,Nina Bawden,Circles of Deceit,Macmillan,,
1987,0,Brian Moore,The Colour of Blood,Jonathan Cape,,
1987,0,Iris Murdoch,The Book and the Brotherhood,Chatto & Windus,,
1988,1,Peter Carey,Oscar and Lucinda,Faber & Faber,The Rt Hon Michael Foot,"Sebastian Faulks, Philip French, Blake Morrison, Rose Tremain"
1988,0,Bruce Chatwin,Utz,Jonathan Cape,,
1988,0,Penelope Fitzgerald,The Beginning of Spring,Collins,,
1988,0,David Lodge,Nice Work,Secker & Warburg,,
1988,0,Salman Rushdie,The Satanic Verses,Viking,,
1988,0,Marina Warner,The Lost Father,Chatto & Windus,,
1989,1,Kazuo Ishiguro,The Remains of the Day,Faber & Faber,David Lodge,"Maggie Gee, Helen McNeil, David Profumo, Edmund White"
1989,0,Margaret Atwood,Cat's Eye,Bloomsbury,,
1989,0,John Banville,The Book of Evidence,Secker & Warburg,,
1989,0,Sybille Bedford,Jigsaw,Hamish Hamilton,,
1989,0,James Kelman,A Disaffection,Secker & Warburg,,
1989,0,Rose Tremain,Restoration,Hamish Hamilton,,
1990,1,A. S. Byatt,Possession: A Romance,Chatto & Windus,Sir Denis Forman,"Susannah Clapp, A. Walton Litz, Hilary Mantel, Kate Saunders"
1990,0,Beryl Bainbridge,An Awfully Big Adventure,Duckworth,,
1990,0,Penelope Fitzgerald,The Gate of Angels,Collins,,
1990,0,John McGahern,Amongst Women,Faber & Faber,,
1990,0,Brian Moore,Lies of Silence,Bloomsbury,,
1990,0,Mordecai Richler,Solomon Gursky Was Here,Chatto & Windus,,
1991,1,Ben Okri,The Famished Road,Jonathan Cape,Jeremy Treglown,"Penelope Fitzgerald, Jonathan Keates, Nicholas Mosley, Ann Schlee"
1991,0,Martin Amis,Time's Arrow,Jonathan Cape,,
1991,0,Roddy Doyle,The Van,Secker & Warburg,,
1991,0,Rohinton Mistry,Such a Long Journey,Faber & Faber,,
1991,0,Timothy Mo,The Redundancy of Courage,Chatto & Windus,,
1991,0,William Trevor,Reading Turgenev[2],Viking,,
1992,1,Michael Ondaatje,The English Patient,Bloomsbury,Victoria Glendinning,"John Coldstream, Valentine Cunningham, Dr Harriet Harvey Wood, Mark Lawson"
1992,1,Barry Unsworth,Sacred Hunger,Hamish Hamilton,,
1992,0,Christopher Hope,Serenity House,Macmillan,,
1992,0,Patrick McCabe,The Butcher Boy,Picador,,
1992,0,Ian McEwan,Black Dogs,Jonathan Cape,,
1992,0,Michèle Roberts,Daughters of the House,Virago,,
1993,1,Roddy Doyle,Paddy Clarke Ha Ha Ha,Secker & Warburg,Lord Gowrie,"Professor Gillian Beer, Anne Chisholm, Nicholas Clee, Olivier Todd"
1993,1,Tibor Fischer,Under the Frog,Polygon,,
1993,0,Michael Ignatieff,Scar Tissue,Chatto & Windus,,
1993,0,David Malouf,Remembering Babylon,Chatto & Windus,,
1993,0,Caryl Phillips,Crossing the River,Bloomsbury,,
1993,0,Carol Shields,The Stone Diaries,Fourth Estate,,
1994,1,James Kelman,"How late it was, how late",Secker & Warburg,Professor John Bayley,"Rabbi Julia Neuberger, Dr Alastair Niven, Alan Taylor, James Wood"
1994,0,Romesh Gunesekera,Reef,Granta Books,,
1994,0,Abdulrazak Gurnah,Paradise,Hamish Hamilton,,
1994,0,Alan Hollinghurst,The Folding Star,Chatto & Windus,,
1994,0,George Mackay Brown,Beside the Ocean of Time,John Murray,,
1994,0,Jill Paton Walsh,Knowledge of Angels,Green Bay,,
1995,1,Pat Barker,The Ghost Road,Viking,George Walden MP,"Kate Kellaway, Peter Kemp, Adam Mars-Jones, Ruth Rendell"
1995,0,Justin Cartwright,In Every Face I Meet,Sceptre,,
1995,0,Salman Rushdie,The Moor's Last Sigh,Jonathan Cape,,
1995,0,Barry Unsworth,Morality Play,Hamish Hamilton,,
1995,0,Tim Winton,The Riders,Picador,,
1996,1,Graham Swift,Last Orders,Picador,Carmen Callil,"Jonathan Coe, Ian Jack, A. L. Kennedy, A. N. Wilson"
1996,0,Margaret Atwood,Alias Grace,Bloomsbury,,
1996,0,Beryl Bainbridge,Every Man for Himself,Duckworth,,
1996,0,Seamus Deane,Reading in the Dark,Jonathan Cape,,
1996,0,Shena Mackay,The Orchard on Fire,Heinemann,,
1996,0,Rohinton Mistry,A Fine Balance,Faber & Faber,,
1997,1,Arundhati Roy,The God of Small Things,Flamingo,Professor Gillian Beer,"Rachel Billington, Jason Cowley, Jan Dalley, Professor Dan Jacobson"
1997,0,Jim Crace,Quarantine,Viking,,
1997,0,Mick Jackson,The Underground Man,Picador,,
1997,0,Bernard MacLaverty,Grace Notes,Jonathan Cape,,
1997,0,Tim Parks,Europa,Secker & Warburg,,
1997,0,Madeleine St John,The Essence of the Thing,Fourth Estate,,
1998,1,Ian McEwan,Amsterdam,Jonathan Cape,Douglas Hurd,"Professor Valentine Cunningham, Penelope Fitzgerald, Miriam Gross, Nigella Lawson"
1998,0,Beryl Bainbridge,Master Georgie,Duckworth,,
1998,0,Julian Barnes,"England, England",Jonathan Cape,,
1998,0,Martin Booth,The Industry of Souls,Dewi Lewis,,
1998,0,Patrick McCabe,Breakfast on Pluto,Picador,,
1998,0,Magnus Mills,The Restraint of Beasts,Flamingo,,
1999,1,J. M. Coetzee,Disgrace,Secker & Warburg,Gerald Kaufman,"Shena Mackay, John Sutherland, Boyd Tonkin, Natasha Walter"
1999,0,Anita Desai,"Fasting, Feasting",Chatto & Windus,,
1999,0,Michael Frayn,Headlong,Faber & Faber,,
1999,0,Andrew O'Hagan,Our Fathers,Faber & Faber,,
1999,0,Ahdaf Soueif,The Map of Love,Bloomsbury,,
1999,0,Colm Tóibín,The Blackwater Lightship,Picador,,
2000,1,Margaret Atwood,The Blind Assassin,Bloomsbury,Simon Jenkins,"Professor Roy Foster, Mariella Frostrup, Caroline Gascoigne, Rose Tremain"
2000,0,Trezza Azzopardi,The Hiding Place,Picador,,
2000,0,Michael Collins,The Keepers of Truth,Phoenix House,,
2000,0,Kazuo Ishiguro,When We Were Orphans,Faber & Faber,,
2000,0,Matthew Kneale,English Passengers,Hamish Hamilton,,
2000,0,Brian O'Doherty,The Deposition of Father McGreevy,Arcadia,,
2001,1,Peter Carey,True History of the Kelly Gang,Faber & Faber,Kenneth Baker,"Philip Hensher, Michèle Roberts, Kate Summerscale, Professor Rory Watson"
2001,0,Ian McEwan,Atonement,Jonathan Cape,,
2001,0,Andrew Miller,Oxygen,Sceptre,,
2001,0,David Mitchell,number9dream,Sceptre,,
2001,0,Rachel Seiffert,The Dark Room,William Heinemann,,
2001,0,Ali Smith,Hotel World,Hamish Hamilton,,
2002,1,Yann Martel,Life of Pi,Canongate Books,Lisa Jardine,"David Baddiel, Russell Celyn Jones, Salley Vickers, Erica Wagner"
2002,0,Rohinton Mistry,Family Matters,Faber & Faber,,
2002,0,Carol Shields,Unless,Fourth Estate,,
2002,0,William Trevor,The Story of Lucy Gault,Viking,,
2002,0,Sarah Waters,Fingersmith,Virago,,
2002,0,Tim Winton,Dirt Music,Picador,,
2003,1,DBC Pierre,Vernon God Little,Faber & Faber,John Carey,"A. C. Grayling, Francine Stock, Rebecca Stephens MBE, D. J. Taylor"
2003,0,Monica Ali,Brick Lane,Doubleday,,
2003,0,Margaret Atwood,Oryx and Crake,Bloomsbury,,
2003,0,Damon Galgut,The Good Doctor,Atlantic Books,,
2003,0,Zoë Heller,Notes on a Scandal,Viking,,
2003,0,Clare Morrall,Astonishing Splashes of Colour,Tindal Street Press,,
2004,1,Alan Hollinghurst,The Line of Beauty,Picador,Chris Smith,"Tibor Fischer, Robert Macfarlane, Rowan Pelling, Fiammetta Rocco"
2004,0,Achmat Dangor,Bitter Fruit,Atlantic,,
2004,0,Sarah Hall,The Electric Michelangelo,Faber & Faber,,
2004,0,David Mitchell,Cloud Atlas,Sceptre,,
2004,0,Colm Tóibín,The Master,Picador,,
2004,0,Gerard Woodward,I'll Go to Bed at Noon,Chatto & Windus,,
2005,1,John Banville,The Sea,Picador,John Sutherland,"Lindsay Duguid, Rick Gekoski, Josephine Hart, David Sexton"
2005,0,Julian Barnes,Arthur & George,Jonathan Cape,,
2005,0,Sebastian Barry,A Long Long Way,Faber & Faber,,
2005,0,Kazuo Ishiguro,Never Let Me Go,Faber & Faber,,
2005,0,Ali Smith,The Accidental,Hamish Hamilton,,
2005,0,Zadie Smith,On Beauty,Hamish Hamilton,,
2006,1,Kiran Desai,The Inheritance of Loss,Hamish Hamilton,Hermione Lee,"Simon Armitage, Candia McWilliam, Antony Quinn, Fiona Shaw"
2006,0,Kate Grenville,The Secret River,Canongate Books,,
2006,0,M. J. Hyland,Carry Me Down,Canongate Books,,
2006,0,Hisham Matar,In the Country of Men,Viking,,
2006,0,Edward St Aubyn,Mother's Milk,Picador,,
2006,0,Sarah Waters,The Night Watch,Virago,,
2007,1,Anne Enright,The Gathering,Jonathan Cape,Howard Davies,"Wendy Cope, Giles Foden, Ruth Scurr, Imogen Stubbs"
2007,0,Nicola Barker,Darkmans,Fourth Estate,,
2007,0,Mohsin Hamid,The Reluctant Fundamentalist,Hamish Hamilton,,
2007,0,Lloyd Jones,Mister Pip,John Murray,,
2007,0,Ian McEwan,On Chesil Beach,Jonathan Cape,,
2007,0,Indra Sinha,Animal's People,Simon & Schuster,,
2008,1,Aravind Adiga,The White Tiger,Atlantic,Michael Portillo,"Alex Clark, Louise Doughty, James Heneage, Hardeep Singh Kohli"
2008,0,Sebastian Barry,The Secret Scripture,Faber & Faber,,
2008,0,Amitav Ghosh,Sea of Poppies,John Murray,,
2008,0,Linda Grant,The Clothes on Their Backs,Virago,,
2008,0,Philip Hensher,The Northern Clemency,Fourth Estate,,
2008,0,Steve Toltz,A Fraction of the Whole,Hamish Hamilton,,
2009,1,Hilary Mantel,Wolf Hall,Fourth Estate,James Naughtie,"Lucasta Miller, John Mullan, Sue Perkins, Michael Prodger"
2009,0,A. S. Byatt,The Children's Book,Chatto and Windus,,
2009,0,J. M. Coetzee,Summertime,Harvill Secker,,
2009,0,Adam Foulds,The Quickening Maze,Jonathan Cape,,
2009,0,Simon Mawer,The Glass Room,"Little, Brown",,
2009,0,Sarah Waters,The Little Stranger,Virago,,
2010,1,Howard Jacobson,The Finkler Question,Bloomsbury,Andrew Motion,"Rosie Blau, Deborah Bull, Tom Sutcliffe, Frances Wilson"
2010,0,Peter Carey,Parrot and Olivier in America,Faber & Faber,,
2010,0,Emma Donoghue,Room,Picador,,
2010,0,Damon Galgut,In a Strange Room,Atlantic Books,,
2010,0,Andrea Levy,The Long Song,Hachette,,
2010,0,Tom McCarthy,C,Jonathan Cape,,
2011,1,Julian Barnes,The Sense of an Ending,Jonathan Cape,Dame Stella Rimington,"Matthew d'Ancona, Susan Hill, Chris Mullin, Gaby Wood"
2011,0,Carol Birch,Jamrach's Menagerie,Canongate Books,,
2011,0,Patrick deWitt,The Sisters Brothers,Granta Books,,
2011,0,Esi Edugyan,Half-Blood Blues,Serpent's Tail,,
2011,0,Stephen Kelman,Pigeon English,Bloomsbury,,
2011,0,A D Miller,Snowdrops,Atlantic Books,,
2012,1,Hilary Mantel,Bring Up the Bodies,Fourth Estate,Sir Peter Stothard,"Dinah Birch, Dan Stevens, Amanda Foreman, Bharat Tandon"
2012,0,Deborah Levy,Swimming Home,And Other Stories/Faber & Faber,,
2012,0,Alison Moore,The Lighthouse,Salt Publishing,,
2012,0,Will Self,Umbrella,Bloomsbury,,
2012,0,Tan Twan Eng,The Garden of Evening Mists,Myrmidon Books,,
2012,0,Jeet Thayil,Narcopolis,Faber & Faber,,
2013,1,Eleanor Catton,The Luminaries,Granta,Robert Macfarlane,"Martha Kearney, Stuart Kelly, Natalie Haynes, Robert Douglas-Fairhurst"
2013,0,NoViolet Bulawayo,We Need New Names,Chatto & Windus,,
2013,0,Jim Crace,Harvest,Picador,,
2013,0,Jhumpa Lahiri,The Lowland,Bloomsbury,,
2013,0,Ruth Ozeki,A Tale for the Time Being,Canongate Books,,
2013,0,Colm Tóibín,The Testament of Mary,Viking,,
2014,1,Richard Flanagan,The Narrow Road to the Deep North,Chatto & Windus,A. C. Grayling,"Sarah Churchwell, Jonathan Bate, Dr Daniel Glaser, Dr Alastair Niven, Erica Wagner"
2014,0,Joshua Ferris,To Rise Again at a Decent Hour,Viking,,
2014,0,Karen Joy Fowler,We Are All Completely Beside Ourselves,Serpent's Tail,,
2014,0,Howard Jacobson,J,Jonathan Cape,,
2014,0,Neel Mukherjee,The Lives of Others,Jonathan Cape,,
2014,0,Ali Smith,How to Be Both,Hamish Hamilton,,
2015,1,Marlon James,A Brief History of Seven Killings,Oneworld Publications,Michael Wood,"John Burnside, Sam Leith, Frances Osborne, Ellah Wakatama Allfrey"
2015,0,Tom McCarthy,Satin Island,Jonathan Cape,,
2015,0,Chigozie Obioma,The Fishermen,One,,
2015,0,Sunjeev Sahota,The Year of the Runaways,Picador,,
2015,0,Anne Tyler,A Spool of Blue Thread,Chatto & Windus,,
2015,0,Hanya Yanagihara,A Little Life,Picador,,
2016,1,Paul Beatty,The Sellout,Oneworld Publications,Amanda Foreman,"Jon Day, David Harsent, Olivia Williams, Abdulrazak Gurnah"
2016,0,Deborah Levy,Hot Milk,Hamish Hamilton,,
2016,0,Graeme Macrae Burnet,His Bloody Project,Contraband,,
2016,0,Ottessa Moshfegh,Eileen,Jonathan Cape,,
2016,0,David Szalay,All That Man Is,Jonathan Cape,,
2016,0,Madeleine Thien,Do Not Say We Have Nothing,Granta Books,,
2017,1,George Saunders,Lincoln in the Bardo,Bloomsbury,Baroness Lola Young,"Lila Azam Zanganeh, Sarah Hall, Colin Thubron, Tom Phillips"
2017,0,Paul Auster,4 3 2 1,Faber & Faber,,
2017,0,Emily Fridlund,History of Wolves,Weidenfeld & Nicolson,,
2017,0,Mohsin Hamid,Exit West,Hamish Hamilton,,
2017,0,Fiona Mozley,Elmet,"JM Originals, John Murray",,
2017,0,Ali Smith,Autumn,Hamish Hamilton,,
2018,1,Anna Burns,Milkman,Faber & Faber,Kwame Anthony Appiah,"Val McDermid, Leo Robson, Leanne Shapton, Jacqueline Rose"
2018,0,Esi Edugyan,Washington Black,Serpent's Tail,,
2018,0,Daisy Johnson,Everything Under,Jonathan Cape,,
2018,0,Rachel Kushner,The Mars Room,Jonathan Cape,,
2018,0,Richard Powers,The Overstory,William Heinemann,,
2018,0,Robin Robertson,The Long Take,Picador,,
